Id_Ejercicio,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
654,1,1,c,0.01,0,3.22,0,0,0
654,1,1,c,0.02,0,2.87,0,0,0
654,1,1,c,0.03,0,2.05,0,0,0
654,1,1,c,0.04,0.37,2.23,2.79,0,0
654,1,1,c,0.05,0.73,2.4,12.27,0,0
654,1,1,c,0.06,1.1,2.99,26.49,0,0
654,1,1,c,0.07,1.47,3.75,39.29,0,0
654,1,1,c,0.08,2.02,4.63,45.57,0,0
654,1,1,c,0.09,2.57,5.68,53.51,0,0
654,1,1,c,0.1,3.12,6.56,57.1,0,0
654,1,1,c,0.11,3.85,6.97,61.28,0,0
654,1,1,c,0.12,4.4,7.03,66.87,0,0
654,1,1,c,0.13,5.13,6.91,69.82,0,0
654,1,1,c,0.14,5.86,6.74,71.07,0,0
654,1,1,c,0.15,6.6,6.91,71.08,0,0
654,1,1,c,0.16,7.33,7.32,72.37,0,0
654,1,1,c,0.17,7.88,7.73,74.28,0,0
654,1,1,c,0.18,8.8,7.91,76.6,0,0
654,1,1,c,0.19,9.53,7.79,78.51,0,0
654,1,1,c,0.2,10.26,7.91,79.04,0,0
654,1,1,c,0.21,11,8.03,80.03,0,0
654,1,1,c,0.22,11.73,8.26,77.55,0,0
654,1,1,c,0.23,12.46,8.55,77.23,0,0
654,1,1,c,0.24,13.19,8.61,80.24,0,0
654,1,1,c,0.25,13.93,8.38,79.69,0,0
654,1,1,c,0.26,14.66,8.08,81.16,0,0
654,1,1,c,0.27,15.39,8.03,83.67,0,0
654,1,1,c,0.28,16.13,8.26,80.89,0,0
654,1,1,c,0.29,17.04,8.67,80.13,0,0
654,1,1,c,0.3,17.78,9.26,79.97,0,0
654,1,1,c,0.31,18.51,9.55,78.96,0,0
654,1,1,c,0.32,19.24,9.67,81.42,0,0
654,1,1,c,0.33,19.98,9.73,78.83,0,0
654,1,1,c,0.34,20.89,9.49,80.76,0,0
654,1,1,c,0.35,21.62,9.14,79.09,0,0
654,1,1,c,0.36,22.36,9.14,80.1,0,0
654,1,1,c,0.37,23.09,9.32,82.95,0,0
654,1,1,c,0.38,23.82,9.49,81.12,0,0
654,1,1,c,0.39,24.56,9.37,80.59,0,0
654,1,1,c,0.4,25.29,9.02,81.49,0,0
654,1,1,c,0.41,26.02,8.55,79.11,0,0
654,1,1,c,0.42,26.76,8.44,79.51,0,0
654,1,1,c,0.43,27.67,8.38,81.36,0,0
654,1,1,c,0.44,28.41,8.44,80.78,0,0
654,1,1,c,0.45,29.14,8.55,80.85,0,0
654,1,1,c,0.46,29.87,8.61,76.12,0,0
654,1,1,c,0.47,30.79,8.55,78.13,0,0
654,1,1,c,0.48,31.52,8.38,78.6,0,0
654,1,1,c,0.49,32.25,8.26,78.71,0,0
654,1,1,c,0.5,32.99,8.14,79.64,0,0
654,1,1,c,0.51,33.54,8.79,74.53,0,0
654,1,1,c,0.52,34.09,10.19,69.54,0,0
654,1,1,c,0.53,34.45,11.25,56.53,0,0
654,1,1,c,0.54,34.45,11.72,41.55,0,0
654,1,1,c,0.55,34.45,11.83,26.07,0,0
654,1,1,e,0.56,34.27,11.54,0,0,0
654,1,1,e,0.57,34.09,12.54,-1.56,0,0
654,1,1,e,0.58,33.9,13.77,-6.95,0,0
654,1,1,e,0.59,33.54,14.65,-18.71,0,0
654,1,1,e,0.6,33.17,14.41,-29.89,0,0
654,1,1,e,0.61,32.62,14.24,-40.53,0,0
654,1,1,e,0.62,32.07,14.59,-44.85,0,0
654,1,1,e,0.63,31.52,14.53,-54.02,0,0
654,1,1,e,0.64,30.97,14.88,-58.46,0,0
654,1,1,e,0.65,30.42,15.47,-63.82,0,0
654,1,1,e,0.66,29.69,16.11,-66.21,0,0
654,1,1,e,0.67,29.14,16.05,-67,0,0
654,1,1,e,0.68,28.41,15.53,-67.72,0,0
654,1,1,e,0.69,27.86,15.12,-69.28,0,0
654,1,1,e,0.7,27.12,14.94,-71.05,0,0
654,1,1,e,0.71,26.39,15.58,-71.97,0,0
654,1,1,e,0.72,25.66,16.17,-72.93,0,0
654,1,1,e,0.73,24.92,16.46,-74.36,0,0
654,1,1,e,0.74,24.19,16.35,-75.37,0,0
654,1,1,e,0.75,23.46,16.23,-76.19,0,0
654,1,1,e,0.76,22.72,16.23,-79.73,0,0
654,1,1,e,0.77,21.99,16.58,-78.48,0,0
654,1,1,e,0.78,21.26,16.76,-77.55,0,0
654,1,1,e,0.79,20.53,16.81,-81.05,0,0
654,1,1,e,0.8,19.79,16.76,-78.82,0,0
654,1,1,e,0.81,19.06,16.87,-79.78,0,0
654,1,1,e,0.82,18.33,17.11,-82.54,0,0
654,1,1,e,0.83,17.59,17.34,-81.76,0,0
654,1,1,e,0.84,16.68,17.34,-82.87,0,0
654,1,1,e,0.85,15.94,17.17,-79.27,0,0
654,1,1,e,0.86,15.21,16.87,-78.66,0,0
